surrogate_delta_eur,truth_delta_eur,fabrication_gap_eur,gap_frac_of_truth_cost,truth_mean_cost_eur,start
-523.3859075745568,-521.8663690630347,-1.5195385115221145,-2.350852294296472e-07,6463777.053151097,0
-320.18803018145263,-318.5066407248378,-1.681389456614852,-2.60829214650736e-07,6446323.349423571,3960
0.0,2.7939677238464355e-09,-2.7939677238464355e-09,-4.292380787391263e-16,6509132.954964364,7944
0.0,-3.725290298461914e-09,3.725290298461914e-09,5.799858807428968e-16,6423070.66801391,11904
47.3073877831921,51.779718762263656,-4.4723309790715575,-6.935664003646266e-07,6448309.746147351,15864
-83.25608723331243,-82.871063596569,-0.3850236367434263,-5.997123957771438e-08,6420138.04374494,19848
-41.60534466151148,-41.56144448556006,-0.04390017595142126,-6.8064140543261764e-09,6449824.474536365,23808
-0.687291381880641,-0.6604709457606077,-0.026820436120033264,-4.177355921050313e-09,6420433.553406624,27792
-0.44684020057320595,-0.44972989335656166,0.002889692783355713,4.50223533127534e-10,6418351.264941886,31752
66.630968157202,66.05792119912803,0.5730469580739737,8.903296576050417e-08,6436345.8318961505,35712
-347.27045086119324,-347.23574398551136,-0.034706875681877136,-5.374547810263357e-09,6457636.420239878,39696
-73.58546399977058,-74.77243546396494,1.1869714641943574,1.8452889027254007e-07,6432442.434576282,43656
