seed,year,baseline,saving_total_eur,saving_electricity_eur,saving_carbon_eur,carbon_fraction_of_saving,saving_pct,delivered_mass_delta_pct,co2_saving_t,saving_per_kg_pct,co2_intensity_saving_pct
0,2021,lagged,13287337.114320517,-13714.17126303818,13301051.285583556,1.0010321233776975,3.899570804963369,-3.856529779469499,166263.141069795,0.04476749736113117,0.057519218404267214
0,2022,lagged,-1169836.8125472069,-20818.774798460305,-1149018.037748754,0.9822036932201492,-0.3448749885587924,0.37498465113203805,-14362.725471859798,0.029997177760876514,0.03419520369364326
0,2023,lagged,6807773.76961267,-23820.402635939652,6831594.172248602,1.0034990003255186,2.029614788642918,-1.9818558134992939,85394.92715310818,0.048724626996354825,0.06147717074972414
0,2024,lagged,9925648.622217178,-49692.260274404194,9975340.882491529,1.0050064496705153,3.0164468111368885,-2.9887149617764837,124691.76103114383,0.028586209686287667,0.050659592457069635
0,2025,lagged,12963326.298416793,-10649.60067292396,12973975.899089694,1.000821517597239,3.9299129448948977,-3.893402979299671,162174.69873862155,0.03798903168672485,0.049327952361855054
1,2021,lagged,18630638.346175194,10917.311872787308,18619721.034302354,0.999414012999985,5.4746127988783355,-5.432296110178787,232746.51292877924,0.04474750571173969,0.05365700944014451
1,2022,lagged,1982340.2371272445,-57200.655224397546,2039540.892351687,1.0288551148552258,0.5851336059401531,-0.5735911816261829,25494.26115439646,0.01160901258643321,0.032063176495022994
1,2023,lagged,6339132.629602671,-83447.32768668863,6422579.9572892785,1.013163840001852,1.891182490925353,-1.8673597991123012,80282.24946611654,0.02427601230771126,0.054769748645799865
1,2024,lagged,12431492.050423503,-20494.28962022299,12451986.340043724,1.0016485784278422,3.779037610519375,-3.751195150479759,155649.82925054617,0.028927590408167614,0.04362219230890085
1,2025,lagged,9262013.368716657,-28414.433472864795,9290427.802189529,1.0030678463031424,2.8076255641261225,-2.786390438092843,116130.34752736939,0.02184377900272816,0.03641854765256136
7,2021,lagged,21678653.458289504,1694.5517173677217,21676958.906572163,0.9999218331654869,6.367878787058888,-6.340984359655271,270961.98633215204,0.0287152573831162,0.04264487053223798
7,2022,lagged,841204.3249918222,-36060.957042582566,877265.2820343971,1.0428682496882378,0.24821081831492944,-0.23266855478576778,10965.816025428474,0.015578509822833375,0.027729790623920447
7,2023,lagged,1507340.390658319,-70502.14162551751,1577842.5322838426,1.0467725419304477,0.44952391324458735,-0.4249997022143342,19723.031653548125,0.024628883712685123,0.046992333503648176
7,2024,lagged,5036546.042524099,-89761.3983522231,5126307.4408762455,1.0178220148479298,1.5319287175840768,-1.4959173568162178,64078.84301095363,0.036558241853079654,0.06761447162525469
7,2025,lagged,11528643.39978695,-15638.069071436534,11544281.468858361,1.0013564535330932,3.4970742928636507,-3.4629940872761567,144303.51836073026,0.03530273729258626,0.0473399320507939
13,2021,lagged,6310697.821253121,-36796.0536986005,6347493.87495172,1.0058307424536599,1.8525097838194977,-1.8229886889387852,79343.67343689594,0.030069253979614352,0.04512224834214429
13,2022,lagged,1358852.0665551424,-62045.32860439224,1420897.3951595426,1.0456601054165466,0.4006995984348414,-0.38783401082250574,17761.217439495027,0.012915679008262959,0.03368639446817978
13,2023,lagged,8084740.353762269,-42846.2805631978,8127586.634325504,1.0052996483113148,2.4120709719251083,-2.373488580385132,101594.83292906871,0.03952040381136612,0.059152487895175465
13,2024,lagged,17514613.103836715,-36048.06658258627,17550661.170419395,1.0020581708753122,5.315605794585839,-5.250285104214689,219383.26463024225,0.06894025005035331,0.0922584823634609
13,2025,lagged,7377814.3780866265,-60306.9917902702,7438121.369876862,1.0081740999027242,2.2367045714780938,-2.206458540926988,92976.51712346077,0.030928454067447042,0.05413286068354228
19,2021,lagged,15584759.929051459,-55488.350335753756,15640248.279387236,1.0035604238107216,4.574677123166159,-4.546093771973411,195503.10349234194,0.02994466368351212,0.05712786116065516
