seed,year,aware_eur,blind_lagged_eur,blind_horizon_eur,saving_vs_lagged_pct,saving_vs_horizon_pct,surrogate,carbon_price_eur_per_t
19,2021,84307735.94275475,85708629.8222368,85723292.73325635,1.6344840448243914,1.651309399542517,hard,20.0
19,2022,85740241.69121371,86277551.95613077,86270898.34374754,0.6227694837589561,0.6151050501635218,hard,20.0
19,2023,84571865.91633883,84343558.2598356,84334401.29276632,-0.2706877219951846,-0.2815750392869412,hard,20.0
19,2024,81827451.08032969,82576268.87718524,82572067.67089443,0.9068196069372694,0.9017778185385205,hard,20.0
19,2025,146019630.66936028,147142531.27110755,147143186.32362804,0.763138021377619,0.7635798043659323,hard,20.0
7,2021,83600440.2513958,85650244.40008192,85646400.94604075,2.393226269280967,2.3888460834845193,hard,20.0
7,2022,86379272.29099503,86175127.83554864,86184439.71120667,-0.2368948681294319,-0.2260646822572807,hard,20.0
7,2023,84888596.20200239,84491326.40980172,84496701.0537094,-0.4701900290614717,-0.46379934767380404,hard,20.0
7,2024,83114036.31634842,82707392.32255335,82692481.92995405,-0.49166583829554483,-0.5097856256768913,hard,20.0
7,2025,146586972.13107893,147045293.63221478,147048426.83178484,0.3116872970325699,0.31381138217397864,hard,20.0
42,2021,84272827.50715664,85710032.44924699,85711723.86021541,1.6768223054184295,1.6787625872575165,hard,20.0
42,2022,86598353.64367285,86308963.55565493,86308716.86098339,-0.3352955198347587,-0.33558230642680303,hard,20.0
42,2023,84555123.34618135,84481939.71962078,84451726.18415467,-0.08662635683253855,-0.12243345008864193,hard,20.0
42,2024,83138521.97620973,82794997.8229493,82812899.30871928,-0.41490930888726457,-0.39320283459290517,hard,20.0
42,2025,144845148.9119104,147134485.3124864,147102914.98371124,1.5559482168397631,1.53482075596587,hard,20.0
1,2021,83830226.76625325,85618303.22879563,85621485.56256717,2.0884278187155303,2.092066943880551,hard,20.0
1,2022,85909562.4053212,86141965.06411181,86142745.29159564,0.2697902916628971,0.27069358596027027,hard,20.0
1,2023,83921013.82926154,84459418.08163552,84474248.0509685,0.6374709471163723,0.6549146449615704,hard,20.0
1,2024,81721150.82460125,82757037.742373,82753841.4295189,1.2517206343181675,1.2479065467881438,hard,20.0
1,2025,146446133.7222937,147221076.48809996,147196650.82150045,0.5263803147566967,0.5098737607263008,hard,20.0
13,2021,84583464.19204299,85708226.21076356,85705422.8205051,1.3123151282523164,1.3090870933708019,hard,20.0
13,2022,86495796.24706803,86223955.03071761,86228164.5992731,-0.3152734251793215,-0.310376138746189,hard,20.0
13,2023,84485021.13898276,84454230.98837978,84457031.33281106,-0.036457795237301874,-0.033140883275193316,hard,20.0
13,2024,82336992.8592075,82888787.5829361,82860654.71248226,0.6657049039069216,0.6319788989017938,hard,20.0
13,2025,147052030.53200936,147150003.93912002,147159949.85691494,0.06658063505808369,0.07333471165932398,hard,20.0
0,2021,83946447.02925746,85723606.79921454,85725708.4177839,2.0731276206326914,2.075528358255398,hard,20.0
0,2022,86654189.02689758,86242018.42956744,86249838.45978577,-0.4779231804120536,-0.4688131297780165,hard,20.0
0,2023,84470477.5713501,84515329.14506136,84502868.38292903,0.05306915818108963,0.038331020234897616,hard,20.0
0,2024,81923920.34797923,82777679.32045531,82778979.76376933,1.031387904909659,1.032942684519939,hard,20.0
0,2025,145498327.12340185,147217950.60707486,147217123.19650048,1.1680800313969093,1.1675245622103607,hard,20.0
37,2021,83861622.05954157,85738215.8400069,85741656.86821915,2.1887483452736887,2.192673756663121,hard,20.0
37,2022,86416932.14458428,86244805.67779654,86251833.0329678,-0.1995789374618001,-0.1914151917830801,hard,20.0
37,2023,84155769.42987974,84448427.80598716,84456199.05618984,0.34655278222559854,0.35572240956547824,hard,20.0
37,2024,82919058.20882817,82795733.10880809,82790019.96424954,-0.14895103333164528,-0.1558620768956828,hard,20.0
37,2025,146305766.3753254,147072152.39560744,147048190.5407935,0.5210952636502786,0.5048849378817323,hard,20.0
53,2021,83350092.71485762,85784601.08297464,85782671.09536675,2.837931676994401,2.835745669197879,hard,20.0
53,2022,85715514.60204457,86217274.00142325,86210909.41728324,0.5819708465503145,0.5746312370292136,hard,20.0
53,2023,84620434.16115102,84512410.86418124,84525598.03286257,-0.12781944789551572,-0.11219811571351043,hard,20.0
53,2024,81980095.98200816,82820695.25281842,82795375.59342691,1.0149628281243577,0.9846922072341906,hard,20.0
53,2025,146464502.64878222,147087339.23450837,147094060.47932535,0.4234467690880748,0.42799677192378377,hard,20.0
23,2021,82429242.34806357,85717421.85748331,85721516.42820849,3.8360690722672195,3.840662434970083,hard,20.0
23,2022,86049086.77981234,86293614.73789817,86280882.5431872,0.2833673833557049,0.2686525178492948,hard,20.0
23,2023,83952150.5335603,84394664.38884462,84391357.94449686,0.5243386634556133,0.5204412177197226,hard,20.0
23,2024,82135374.6177959,82678014.5074501,82667309.01638548,0.6563291255685719,0.6434640306050685,hard,20.0
23,2025,147240303.730348,147160829.40081352,147155251.3869548,-0.054005084000995504,-0.0577976950136328,hard,20.0
31,2021,84461635.91693003,85671043.25240776,85674283.60157806,1.4116874145147458,1.415416194534349,hard,20.0
31,2022,86728223.7257411,86273202.59311907,86275083.0552878,-0.5274188495911066,-0.525227741783712,hard,20.0
31,2023,85284872.55822168,84537401.41393866,84539946.40597917,-0.884189875464734,-0.8811528560299937,hard,20.0
31,2024,82126222.06394611,82876332.18059315,82875431.80580525,0.9050956973005201,0.9040191110131355,hard,20.0
31,2025,145829562.2090276,147246243.0776001,147223220.85594672,0.9621168180337882,0.94662964090616,hard,20.0
