seed,year,aware_eur,blind_lagged_eur,blind_horizon_eur,saving_vs_lagged_pct,saving_vs_horizon_pct,surrogate,carbon_price_eur_per_t
0,2021,165567241.92825812,170728681.9164494,170734745.55797687,3.023182707353861,3.0266268373381604,hard,40.0
0,2022,171634274.53608787,170563182.25080308,170579255.14640468,-0.6279739104010205,-0.6184922010461855,hard,40.0
0,2023,166290754.15661055,168150855.25905484,168124863.25275412,1.1062097183975672,1.090920795805333,hard,40.0
0,2024,160565124.92663318,164868987.08915308,164871690.28986397,2.610474073084821,2.6120708507684625,hard,40.0
0,2025,287159248.12382895,293233042.07129645,293236007.99027115,2.0713197614308174,2.072310255513987,hard,40.0
7,2021,163275881.2315533,170579568.70841837,170572483.09988818,4.281689496676886,4.277713342580562,hard,40.0
7,2022,170413109.44445878,170419065.889441,170434382.49002695,0.0034951752323856143,0.01248166318167226,hard,40.0
7,2023,167520029.30774963,168100210.5593003,168113133.56934047,0.34514010995007366,0.3528006700001251,hard,40.0
7,2024,165155656.94562614,164728992.44552344,164699010.54707628,-0.25900996161546885,-0.2772611669208119,hard,40.0
7,2025,289023250.6999442,292887631.1064799,292907464.9489392,1.319407170571427,1.3260891966929276,hard,40.0
19,2021,164606376.56472868,170697069.3837369,170729516.83746192,3.5681296937301252,3.5864567452402496,hard,40.0
19,2022,168027340.2509322,170635728.40618032,170618666.57881013,1.528629542951956,1.5187824285808635,hard,40.0
19,2023,167287441.69604623,167805215.9602065,167784209.21648717,0.30855671630794895,0.2960752521114613,hard,40.0
19,2024,162086883.23022845,164465095.1445143,164459204.1220081,1.446028357686548,1.442498098202924,hard,40.0
19,2025,287521238.9260365,293079339.69003826,293086306.305361,1.8964491901339937,1.898781096079719,hard,40.0
1,2021,163946376.3042831,170515492.50349033,170519677.75001895,3.8525040175295224,3.854863868187853,hard,40.0
1,2022,169761947.1194752,170356094.50191674,170358190.05242386,0.3487679053565445,0.3499937001943954,hard,40.0
1,2023,166479987.8238173,168037656.61695376,168066003.28882617,0.9269760269789971,0.9436860721220593,hard,40.0
1,2024,161421786.9326833,164824511.48912615,164820411.79691646,2.0644529904566666,2.062016971793993,hard,40.0
1,2025,287583809.70206994,293239084.5288364,293186971.6717622,1.9285542498037516,1.9111224273516885,hard,40.0
13,2021,167664833.39098218,170691263.68148378,170685955.07760844,1.7730434617608932,1.7699884476450305,hard,40.0
13,2022,171170090.22801697,170522555.62523398,170529566.15981025,-0.3797354551770348,-0.3756088065142124,hard,40.0
13,2023,166794867.9644672,168028929.54938808,168031961.05649596,0.7344339979016293,0.7362248730840137,hard,40.0
13,2024,162651732.35787165,165090978.88401994,165036189.6559163,1.4775165442939884,1.4448087434737817,hard,40.0
13,2025,288798668.74885094,293101908.5116133,293122232.91097134,1.4681718671210442,1.475003830034816,hard,40.0
42,2021,167466287.7961587,170701018.32401887,170703639.20433056,1.8949685008440367,1.8964747460930138,hard,40.0
42,2022,171172178.13906497,170699763.25569952,170697395.16181892,-0.27675192651427344,-0.27814307113237313,hard,40.0
42,2023,166554230.99739707,168082823.3538574,168021312.82513043,0.9094280581200462,0.8731522228136886,hard,40.0
42,2024,165791732.18945885,164904497.75401098,164941338.60771868,-0.5380292517984346,-0.5155733480268817,hard,40.0
42,2025,284709409.51928526,293068348.9742578,293017831.01261735,2.8522150154491053,2.8354661778157544,hard,40.0
23,2021,160641337.01368463,170720040.6088515,170728300.20125642,5.9036440942858475,5.908196342188829,hard,40.0
23,2022,169380514.02602515,170660238.60114247,170635128.26332796,0.7498668615530418,0.7352614025446513,hard,40.0
23,2023,165485951.57646778,167906049.8384553,167899462.0466227,1.4413407166185597,1.4374736170892093,hard,40.0
23,2024,163005376.74928683,164669757.3572868,164650002.55611676,1.010738483320131,0.9988616952917451,hard,40.0
23,2025,290569117.59693146,293124934.5676951,293105292.6319394,0.8719206963859897,0.8652778024696742,hard,40.0
37,2021,164420080.98303595,170756339.6350143,170765501.67444587,3.7107018489163415,3.7158680349307778,hard,40.0
37,2022,171020077.2384355,170575931.9902129,170587152.04145247,-0.260379786902236,-0.2537853477252725,hard,40.0
37,2023,166746890.31923014,168014151.28030732,168029498.95338866,0.7542584665757956,0.7633234891180132,hard,40.0
37,2024,164616498.070999,164905959.39754817,164893411.31875885,0.1755311497575121,0.16793469523445187,hard,40.0
37,2025,288519749.8525691,292939742.01236343,292910687.4606986,1.5088400533949355,1.4990704662214338,hard,40.0
31,2021,167867960.0037884,170622938.37545598,170629734.6846713,1.6146588482758577,1.6185776095747557,hard,40.0
31,2022,172032053.26341245,170625706.3406218,170629721.77453527,-0.824229216659266,-0.8218565173130703,hard,40.0
31,2023,170097967.3112018,168195816.05715862,168200590.77940503,-1.1309147270326727,-1.1280439164956273,hard,40.0
31,2024,162610267.2784348,165067154.09258902,165062852.80839714,1.488416534264653,1.4858494738421013,hard,40.0
31,2025,286725840.366079,293293697.1412996,293237800.0471309,2.2393446702867426,2.220709499254622,hard,40.0
53,2021,162219796.4723152,170852452.92502156,170849798.5797773,5.052696818169067,5.051221704210778,hard,40.0
53,2022,167664553.56038523,170504661.3579257,170494530.90632945,1.6657068345940953,1.6598640032031466,hard,40.0
53,2023,166832788.66144654,168146112.10260707,168173432.22653025,0.7810608432974686,0.7971791663726411,hard,40.0
53,2024,160680335.9553976,164952900.1127379,164901702.30912268,2.5901721972879423,2.5599289119597777,hard,40.0
53,2025,289428629.0801592,292973058.3051704,292999687.1820258,1.2098140509968787,1.2187924622759363,hard,40.0
