surrogate_delta_eur,truth_delta_eur,fabrication_gap_eur,gap_frac_of_truth_cost,truth_mean_cost_eur,start
-366.49577042553574,-366.36964644677937,-0.1261239787563681,-1.9535578885696912e-08,6456116.785395624,0
0.0,4.6566128730773926e-09,-4.6566128730773926e-09,-7.175956635625939e-16,6489187.587838884,3960
0.0,-6.51925802230835e-09,6.51925802230835e-09,1.0139094467391048e-15,6429822.745290842,7944
9.313225746154785e-10,5.587935447692871e-09,-4.6566128730773926e-09,-7.164118925138122e-16,6499910.068128321,11904
-6.607667442411184,-6.483519920147955,-0.1241475222632289,-1.9333879511665552e-08,6421242.161373849,15864
-482.55956134945154,-479.2995491819456,-3.26001216750592,-5.057216338015081e-07,6446258.078778274,19848
-162.56345634534955,-162.5632069632411,-0.0002493821084499359,-3.8690715955812087e-11,6445528.398459991,23808
0.0,9.313225746154785e-10,-9.313225746154785e-10,-1.43333587940306e-16,6497587.815937082,27792
-15.76102946139872,-15.760374058969319,-0.0006554024294018745,-1.0094674903869455e-10,6492556.081728278,31752
73.2113796826452,69.19244715943933,4.018932523205876,6.245857585260252e-07,6434556.773581022,35712
-64.59817808214575,-64.5979680325836,-0.0002100495621562004,-3.270190955126054e-11,6423158.923699725,39696
-20.781997326761484,-20.560806167311966,-0.22119115944951773,-3.440332560920123e-08,6429354.009612366,43656
