year,mean,std,baseline,surrogate,carbon_price_eur_per_t
2021,3.46747421861928,1.4259919263776506,lagged,hard,40.0
2022,0.19275425342318514,0.8682627730569276,lagged,hard,40.0
2023,0.6176485676000064,0.6979545769781023,lagged,hard,40.0
2024,1.2065908981455626,1.111753035000466,lagged,hard,40.0
2025,2.0974052747701544,0.538544514995549,lagged,hard,40.0
2021,3.470263574507925,1.426247244565079,horizon,hard,40.0
2022,0.1931111338035155,0.8623344625568172,horizon,hard,40.0
2023,0.6169909425537593,0.695515013558074,horizon,hard,40.0
2024,1.1979791271711353,1.1063181658136914,horizon,hard,40.0
2025,2.094117149800157,0.5405342170739199,horizon,hard,40.0
