baseline,scope,n,mean_pct,std_pct,se_pct,ci95_lo_pct,ci95_hi_pct,t_stat,p_two_sided,wilcoxon_p_two_sided,surrogate,carbon_price_eur_per_t
lagged,2021,10,0.0317,0.1037,0.0328,-0.0325,0.096,0.967,0.3585899334980799,0.375,hard,0.0
lagged,2022,10,-0.0335,0.086,0.0272,-0.0869,0.0198,-1.233,0.2488427467450022,0.322265625,hard,0.0
lagged,2023,10,0.0431,0.0927,0.0293,-0.0144,0.1005,1.469,0.17588167483211756,0.064453125,hard,0.0
lagged,2024,10,0.0002,0.0595,0.0188,-0.0367,0.0371,0.01,0.992433339467561,0.6953125,hard,0.0
lagged,2025,10,-0.0002,0.0826,0.0261,-0.0514,0.0509,-0.009,0.9932698633542069,0.193359375,hard,0.0
lagged,ALL_5yr_mean,10,0.0082,0.0282,0.0089,-0.0092,0.0257,0.924,0.3797732896605016,0.6953125,hard,0.0
horizon,2021,10,0.0191,0.0898,0.0284,-0.0365,0.0748,0.673,0.5177669648051978,0.4921875,hard,0.0
horizon,2022,10,-0.0065,0.0658,0.0208,-0.0472,0.0343,-0.31,0.7633930250095187,0.6953125,hard,0.0
horizon,2023,10,0.0438,0.0661,0.0209,0.0028,0.0847,2.094,0.0657664967473088,0.048828125,hard,0.0
horizon,2024,10,-0.032,0.0471,0.0149,-0.0612,-0.0028,-2.146,0.06041927542238654,0.083984375,hard,0.0
horizon,2025,10,-0.0145,0.0444,0.014,-0.042,0.013,-1.031,0.3296035603518966,0.16015625,hard,0.0
horizon,ALL_5yr_mean,10,0.002,0.0246,0.0078,-0.0132,0.0172,0.256,0.8037072434263405,0.625,hard,0.0
