year,mean,std,baseline,surrogate,carbon_price_eur_per_t
2021,5.052415548960672,2.456281054868598,lagged,hard,120.0
2022,1.4459885286383671,1.89659753495028,lagged,hard,120.0
2023,1.7328894089313027,1.6697766788085264,lagged,hard,120.0
2024,3.241357124563751,1.8893613538540595,lagged,hard,120.0
2025,4.704675886565324,1.2409565554722677,lagged,hard,120.0
2021,5.055182068962127,2.4558524949692275,horizon,hard,120.0
2022,1.4463167318993544,1.8919366124595223,horizon,hard,120.0
2023,1.7319438909672726,1.6700073810075549,horizon,hard,120.0
2024,3.233252963968225,1.8774813202247982,horizon,hard,120.0
2025,4.701469241238862,1.2451862304946963,horizon,hard,120.0
