surrogate_delta_eur,truth_delta_eur,fabrication_gap_eur,gap_frac_of_truth_cost,truth_mean_cost_eur,start
-367.0148886675015,-366.36964644677937,-0.6452422207221389,-9.99427739878778e-08,6456116.785395624,0
-9.313225746154785e-10,4.6566128730773926e-09,-5.587935447692871e-09,-8.611147962751127e-16,6489187.587838884,3960
0.0,-6.51925802230835e-09,6.51925802230835e-09,1.0139094467391048e-15,6429822.745290842,7944
1.862645149230957e-09,5.587935447692871e-09,-3.725290298461914e-09,-5.731295140110497e-16,6499910.068128321,11904
-6.576103580184281,-6.483519920147955,-0.09258366003632545,-1.4418341141726514e-08,6421242.161373849,15864
-480.19487747736275,-479.2995491819456,-0.89532829541713,-1.3889116514969207e-07,6446258.078778274,19848
-161.98989185038954,-162.5632069632411,0.5733151128515601,8.89477289384902e-08,6445528.398459991,23808
0.0,9.313225746154785e-10,-9.313225746154785e-10,-1.43333587940306e-16,6497587.815937082,27792
-15.722749663516879,-15.760374058969319,0.037624395452439785,5.79500507640196e-09,6492556.081728278,31752
69.75484156515449,69.19244715943933,0.5623944057151675,8.740219808522698e-08,6434556.773581022,35712
-64.58699935115874,-64.5979680325836,0.010968681424856186,1.7076771032995475e-09,6423158.923699725,39696
-19.54009469319135,-20.560806167311966,1.020711474120617,1.5875801403913625e-07,6429354.009612366,43656
