surrogate_delta_eur,truth_delta_eur,fabrication_gap_eur,gap_frac_of_truth_cost,truth_mean_cost_eur,start
0.0,-9.313225746154783e-10,9.313225746154783e-10,1.4544689388605355e-16,6403179.536753106,0
-44.1569791669026,-44.15910280589014,0.0021236389875411987,3.3017455682080484e-10,6431867.458199568,3960
-3.6009079283103347,-3.438592758961022,-0.16231516934931278,-2.5227770342356237e-08,6433987.908824161,7944
-4.050946647301316,-3.98378480412066,-0.06716184318065643,-1.0454405556926147e-08,6424262.2705755895,11904
-62.2469532256946,-62.81851637363434,0.5715631479397416,8.808645858884202e-08,6488660.766890474,15864
-9.313225746154785e-10,0.0,-9.313225746154785e-10,-1.4359659398699302e-16,6485687.0818247795,19848
-7.387737692333758,-7.674375186674297,0.286637494340539,4.451857953211684e-08,6438603.777412784,23808
-0.04826749302446842,-0.04028966650366783,-0.00797782652080059,-1.2426466454681452e-09,6420028.211475262,27792
-0.44684020057320595,-0.44972989335656166,0.002889692783355713,4.50223533127534e-10,6418351.264941886,31752
-487.08693345822394,-487.55499997735023,0.46806651912629604,7.215352792059378e-08,6487091.243014637,35712
0.0,9.313225746154785e-10,-9.313225746154785e-10,-1.448963295871286e-16,6427509.773844606,39696
-43.88327805418521,-44.301840151660144,0.41856209747493267,6.529296352450056e-08,6410523.81269034,43656
