surrogate,carbon_price_eur_per_t,baseline,n_seeds,mean_saving_pct,std_pct,se_pct,ci95_lo_pct,ci95_hi_pct
hard,0.0,lagged,10,0.0201,0.028,0.0089,0.0027,0.0375
hard,80.0,lagged,10,2.4957,0.7866,0.2487,2.0081,2.9832
soft,0.0,lagged,10,0.0226,0.0259,0.0082,0.0065,0.0387
soft,80.0,lagged,10,2.4975,0.7852,0.2483,2.0108,2.9842
hard,0.0,horizon,10,0.0074,0.0246,0.0078,-0.0079,0.0227
hard,80.0,horizon,10,2.4936,0.7865,0.2487,2.0061,2.9811
soft,0.0,horizon,10,0.0093,0.0231,0.0073,-0.005,0.0236
soft,80.0,horizon,10,2.4953,0.7859,0.2485,2.0082,2.9824
