year,mean,std,baseline,surrogate,carbon_price_eur_per_t
2021,4.202477966762655,1.946161291498316,lagged,hard,60.0
2022,0.5716131542308195,1.1724458787587726,lagged,hard,60.0
2023,1.0598962426650655,1.0932331147029488,lagged,hard,60.0
2024,2.0134375458178515,1.4173489367161407,lagged,hard,60.0
2025,2.9428159085830448,0.721265610130825,lagged,hard,60.0
2021,4.205272154546835,1.9459876866698838,horizon,hard,60.0
2022,0.5719570024512947,1.1666500087629526,horizon,hard,60.0
2023,1.058817247809488,1.0894822837286233,horizon,hard,60.0
2024,2.0051618418963173,1.4081089416712451,horizon,hard,60.0
2025,2.939559298280665,0.7248405699958954,horizon,hard,60.0
