baseline,scope,n,mean_pct,std_pct,se_pct,ci95_lo_pct,ci95_hi_pct,t_stat,p_two_sided,wilcoxon_p_two_sided,surrogate,carbon_price_eur_per_t
lagged,2021,10,2.1453,0.7543,0.2385,1.6777,2.6128,8.993,8.591097389216831e-06,0.001953125,hard,20.0
lagged,2022,10,-0.0334,0.4326,0.1368,-0.3015,0.2347,-0.244,0.8125505204376795,0.921875,hard,20.0
lagged,2023,10,-0.0314,0.4589,0.1451,-0.3159,0.253,-0.216,0.8334998246464043,0.845703125,hard,20.0
lagged,2024,10,0.5377,0.6431,0.2034,0.1391,0.9363,2.644,0.026729408840764426,0.02734375,hard,20.0
lagged,2025,10,0.9449,0.433,0.1369,0.6766,1.2133,6.901,7.055464344994861e-05,0.001953125,hard,20.0
lagged,ALL_5yr_mean,10,0.7126,0.2791,0.0883,0.5396,0.8856,8.073,2.0578758081806776e-05,0.001953125,hard,20.0
horizon,2021,10,2.1479,0.7538,0.2384,1.6807,2.6151,9.011,8.451993327628072e-06,0.001953125,hard,20.0
horizon,2022,10,-0.0327,0.4265,0.1349,-0.297,0.2317,-0.242,0.8140042429878136,0.921875,hard,20.0
horizon,2023,10,-0.0324,0.4616,0.146,-0.3185,0.2537,-0.222,0.8294050063113408,0.845703125,hard,20.0
horizon,2024,10,0.529,0.6393,0.2022,0.1327,0.9252,2.617,0.02797015822157026,0.02734375,hard,20.0
horizon,2025,10,0.9419,0.4304,0.1361,0.6751,1.2087,6.919,6.915420180331711e-05,0.001953125,hard,20.0
horizon,ALL_5yr_mean,10,0.7107,0.2792,0.0883,0.5377,0.8838,8.049,2.1074898733624755e-05,0.001953125,hard,20.0
