baseline,scope,n,mean_pct,std_pct,se_pct,ci95_lo_pct,ci95_hi_pct,t_stat,p_two_sided,surrogate,carbon_price_eur_per_t
lagged,2021,10,5.3227,2.6578,0.8405,3.6754,6.97,6.333,0.00013555434962504723,hard,160.0
lagged,2022,10,1.7194,2.0599,0.6514,0.4426,2.9962,2.64,0.026935847261325394,hard,160.0
lagged,2023,10,1.8418,1.9302,0.6104,0.6454,3.0382,3.017,0.014539726432890237,hard,160.0
lagged,2024,10,3.5794,1.9342,0.6116,2.3805,4.7782,5.852,0.00024314694069496015,hard,160.0
lagged,2025,10,4.6735,0.822,0.2599,4.164,5.1829,17.98,2.3171125785735644e-08,hard,160.0
lagged,ALL_5yr_mean,10,3.4274,1.0286,0.3253,2.7898,4.0649,10.537,2.3117253345143405e-06,hard,160.0
horizon,2021,10,5.3254,2.6576,0.8404,3.6783,6.9726,6.337,0.00013496342304322265,hard,160.0
horizon,2022,10,1.7195,2.055,0.6499,0.4458,2.9933,2.646,0.026650676783577038,hard,160.0
horizon,2023,10,1.8408,1.9301,0.6104,0.6445,3.0371,3.016,0.01457504838592451,hard,160.0
horizon,2024,10,3.5714,1.9222,0.6079,2.38,4.7628,5.875,0.00023618889037999957,hard,160.0
horizon,2025,10,4.6698,0.8197,0.2592,4.1618,5.1779,18.016,2.2768063977666987e-08,hard,160.0
horizon,ALL_5yr_mean,10,3.4254,1.0288,0.3253,2.7877,4.063,10.529,2.326205937947224e-06,hard,160.0
