time,m_dot,pinn_cost_eur,true_cost_eur,abs_error_eur,rel_error
2021-01-01 00:00:00+00:00,80.0,63521.542281945076,63521.53997351501,0.0023084300628397614,3.6340902065390424e-08
2021-01-02 02:00:00+00:00,80.0,63693.8467978108,63693.8445161848,0.0022816260025138035,3.58217662199678e-08
2021-01-03 04:00:00+00:00,80.0,63860.76642334564,63860.76428484658,0.002138499061402399,3.348690058579962e-08
2021-01-04 06:00:00+00:00,80.0,64077.870995818754,64077.866721282975,0.004274535778677091,6.670845942302606e-08
2021-01-05 08:00:00+00:00,80.0,64260.68702593295,64260.68207451568,0.004951417271513492,7.70520496296001e-08
2021-01-06 10:00:00+00:00,65.0,52261.47073912013,52261.46777191496,0.0029672051678062417,5.6776154444548865e-08
2021-01-07 12:00:00+00:00,10.0,8050.359288716918,8050.358299231598,0.0009894853201330989,1.2291196038738406e-07
2021-01-08 15:00:00+00:00,10.0,8053.499415530009,8053.498266844713,0.0011486852963571437,1.4263184255902672e-07
2021-01-09 17:00:00+00:00,10.0,8047.387175490601,8047.386323591489,0.00085189911260386,1.0586034759896279e-07
2021-01-10 19:00:00+00:00,65.0,52265.54117153185,52265.53801687687,0.0031546549798804335,6.035822264216506e-08
2021-01-11 21:00:00+00:00,80.0,64305.86851689358,64305.8658522624,0.0026646311744116247,4.1436829079088966e-08
2021-01-12 23:00:00+00:00,80.0,64305.51275917326,64305.51010455486,0.0026546184017206542,4.128135211445283e-08
2021-01-14 01:00:00+00:00,80.0,64313.31976243888,64313.3167903593,0.002972079579194542,4.621250671021926e-08
2021-01-15 04:00:00+00:00,10.0,8057.185555886222,8057.184208370101,0.0013475161204041797,1.6724405016432797e-07
2021-01-16 06:00:00+00:00,65.0,52270.49012535073,52270.486731974444,0.0033933762824744917,6.49195461832619e-08
2021-01-17 08:00:00+00:00,60.0,48248.008390868745,48248.00502542539,0.0033654433573246934,6.975300537170881e-08
2021-01-18 10:00:00+00:00,10.0,8047.448959188877,8047.448085346271,0.0008738426058698678,1.085862992855624e-07
2021-01-19 12:00:00+00:00,10.0,8047.6935504042785,8047.6926618952075,0.0008885090710464283,1.1040544278806408e-07
2021-01-20 14:00:00+00:00,10.0,8050.104827437704,8050.103840801896,0.0009866358086583205,1.225618735389844e-07
2021-01-21 17:00:00+00:00,10.0,8045.892455828475,8045.891689125765,0.0007667027102797874,9.52912044827059e-08
2021-01-22 19:00:00+00:00,10.0,8037.2750398065955,8037.274689098584,0.0003507080118652084,4.3635190571933435e-08
2021-01-23 21:00:00+00:00,10.0,8039.263863313688,8039.263417602563,0.0004457111244846601,5.5441786273036087e-08
2021-01-24 23:00:00+00:00,10.0,8041.269986506669,8041.269439397882,0.0005471087870319025,6.80376142092598e-08
2021-01-26 01:00:00+00:00,10.0,8020.518803555485,8020.518279229153,0.0005243263312877389,6.537312335908041e-08
2021-01-27 03:00:00+00:00,10.0,7999.389071042961,7999.388533004913,0.0005380380480346503,6.725989698530555e-08
2021-01-28 06:00:00+00:00,10.0,7983.546016420512,7983.545132512883,0.0008839076290314551,1.1071618111202497e-07
2021-01-29 08:00:00+00:00,10.0,7962.870113398456,7962.869165926,0.0009474724556639558,1.1898631457896158e-07
2021-01-30 10:00:00+00:00,55.0,43689.288131445726,43689.28447623067,0.0036552150559145957,8.366388004610315e-08
2021-01-31 12:00:00+00:00,65.0,51618.431908270504,51618.42846823134,0.003440039166889619,6.6643624618834e-08
2021-02-01 14:00:00+00:00,10.0,7952.3946467994065,7952.393547193466,0.0010996059409080772,1.382735819177583e-07
2021-02-02 16:00:00+00:00,10.0,7953.206402235469,7953.205263248657,0.0011389868122932967,1.4321104191417078e-07
2021-02-03 18:00:00+00:00,60.0,47652.63428566682,47652.63083641669,0.0034492501290515065,7.2383204541282e-08
2021-02-04 21:00:00+00:00,60.0,47654.54143398257,47654.537889786516,0.0035441960571915843,7.437268756405047e-08
2021-02-05 23:00:00+00:00,75.0,59553.7412420885,59553.73786142426,0.0033806642386480235,5.6766617184678125e-08
2021-02-07 01:00:00+00:00,80.0,63521.42110571973,63521.41776450271,0.0033412170232622884,5.259984958705388e-08
2021-02-08 03:00:00+00:00,75.0,59553.44801356432,59553.444646196695,0.003367367622558959,5.654362467133467e-08
2021-02-09 05:00:00+00:00,10.0,7951.740167772388,7951.739101123969,0.0010666484195098747,1.3414026867053508e-07
2021-02-10 07:00:00+00:00,10.0,7954.55595121867,7954.554741190412,0.001210028258356033,1.5211766069000987e-07
2021-02-11 10:00:00+00:00,10.0,7954.829919201574,7954.828695359039,0.0012238425351824844,1.5384901197457168e-07
2021-02-12 12:00:00+00:00,60.0,47664.37686431403,47664.3728364509,0.004027863127703313,8.450469168863606e-08
2021-02-13 14:00:00+00:00,70.0,55594.1025466725,55594.098723921736,0.0038227507611736655,6.876180824733069e-08
2021-02-14 16:00:00+00:00,70.0,55607.45712194529,55607.45266921379,0.004452731503988616,8.00743658047054e-08
2021-02-15 18:00:00+00:00,70.0,55629.471410880695,55629.46594300578,0.005467874914756976,9.82909833524559e-08
2021-02-16 20:00:00+00:00,75.0,59606.76065087238,59606.754839758134,0.005811114242533222,9.749086760102443e-08
2021-02-17 23:00:00+00:00,80.0,63548.107436559425,63548.10292981711,0.004506742312514689,7.091859721697347e-08
2021-02-19 01:00:00+00:00,80.0,63566.04326998449,63566.03988778541,0.0033821990800788626,5.320764184801874e-08
2021-02-20 03:00:00+00:00,80.0,63613.46269093055,63613.45920188531,0.0034890452443505637,5.48475949102567e-08
2021-02-21 05:00:00+00:00,80.0,63650.6827625528,63650.67975100192,0.0030115508852759376,4.731372693633773e-08
