year,mean,std,baseline,surrogate,carbon_price_eur_per_t
2021,0.043205415697628854,0.10793247470289696,lagged,soft,0.0
2022,-0.035847170374680146,0.08490009622878908,lagged,soft,0.0
2023,0.03971514581306337,0.08806366619938083,lagged,soft,0.0
2024,0.0009710428173605428,0.06342104038309736,lagged,soft,0.0
2025,0.013540146656442454,0.08684492465738204,lagged,soft,0.0
2021,0.02617697130015263,0.09361946063046335,horizon,soft,0.0
2022,-0.007539454102575197,0.06272011464106866,horizon,soft,0.0
2023,0.04481502781558811,0.05940611415016142,horizon,soft,0.0
2024,-0.029142728089274622,0.044645883918397085,horizon,soft,0.0
2025,-0.0009979742238428397,0.06079073329685445,horizon,soft,0.0
