surrogate_delta_eur,truth_delta_eur,fabrication_gap_eur,gap_frac_of_truth_cost,truth_mean_cost_eur,start
-522.1460388563573,-521.8663690630347,-0.2796697933226824,-4.326724003983757e-08,6463777.053151097,0
-319.0713943298906,-318.5066407248378,-0.5647536050528288,-8.760863742637561e-08,6446323.349423571,3960
0.0,2.7939677238464355e-09,-2.7939677238464355e-09,-4.292380787391263e-16,6509132.954964364,7944
0.0,-3.725290298461914e-09,3.725290298461914e-09,5.799858807428968e-16,6423070.66801391,11904
51.45088408887386,51.779718762263656,-0.32883467338979244,-5.0995483519733235e-08,6448309.746147351,15864
-84.08891952689737,-82.871063596569,-1.2178559303283691,-1.896931066014867e-07,6420138.04374494,19848
-41.56108010560274,-41.56144448556006,0.00036437995731830597,5.6494554038929694e-11,6449824.474536365,23808
-0.691907593049109,-0.6604709457606077,-0.03143664728850126,-4.896343374166883e-09,6420433.553406624,27792
-0.45004632510244846,-0.44972989335656166,-0.0003164317458868027,-4.9301095067078376e-11,6418351.264941886,31752
69.73277912661433,66.05792119912803,3.6748579274863005,5.709540822488225e-07,6436345.8318961505,35712
-347.23623463511467,-347.23574398551136,-0.0004906496033072472,-7.597975038814918e-11,6457636.420239878,39696
-73.92566535063088,-74.77243546396494,0.8467701133340597,1.316405272097609e-07,6432442.434576282,43656
