baseline,scope,n,mean_pct,std_pct,se_pct,ci95_lo_pct,ci95_hi_pct,t_stat,p_two_sided,wilcoxon_p_two_sided,surrogate,carbon_price_eur_per_t
lagged,2021,10,4.2025,1.9462,0.6154,2.9962,5.4087,6.829,7.65571028651851e-05,0.001953125,hard,60.0
lagged,2022,10,0.5716,1.1724,0.3708,-0.1551,1.2983,1.542,0.15752906910748696,0.375,hard,60.0
lagged,2023,10,1.0599,1.0932,0.3457,0.3823,1.7375,3.066,0.013443920713343518,0.01953125,hard,60.0
lagged,2024,10,2.0134,1.4173,0.4482,1.135,2.8919,4.492,0.001505693236664521,0.00390625,hard,60.0
lagged,2025,10,2.9428,0.7213,0.2281,2.4958,3.3899,12.902,4.142656133933276e-07,0.001953125,hard,60.0
lagged,ALL_5yr_mean,10,2.158,0.7038,0.2226,1.7218,2.5943,9.696,4.622191470710208e-06,0.001953125,hard,60.0
horizon,2021,10,4.2053,1.946,0.6154,2.9991,5.4114,6.834,7.611549341200926e-05,0.001953125,hard,60.0
horizon,2022,10,0.572,1.1667,0.3689,-0.1511,1.2951,1.55,0.15547547057384367,0.375,hard,60.0
horizon,2023,10,1.0588,1.0895,0.3445,0.3835,1.7341,3.073,0.013283596968625298,0.01953125,hard,60.0
horizon,2024,10,2.0052,1.4081,0.4453,1.1324,2.8779,4.503,0.0014822951595839956,0.00390625,hard,60.0
horizon,2025,10,2.9396,0.7248,0.2292,2.4903,3.3888,12.824,4.3633699151036995e-07,0.001953125,hard,60.0
horizon,ALL_5yr_mean,10,2.1562,0.7036,0.2225,1.72,2.5923,9.69,4.647108180168674e-06,0.001953125,hard,60.0
