surrogate_delta_eur,truth_delta_eur,fabrication_gap_eur,gap_frac_of_truth_cost,truth_mean_cost_eur,start
-522.1460388563573,-521.8663690630347,-0.2796697933226824,-4.326724003983757e-08,6463777.053151097,0
50.40977638401091,50.50702643021941,-0.09725004620850086,-1.5160991696023063e-08,6414491.093878172,3960
0.0,-6.51925802230835e-09,6.51925802230835e-09,1.0139094467391048e-15,6429822.745290842,7944
3.495787139981985,3.530339242890477,-0.03455210290849209,-5.361769558803614e-09,6444160.37085372,11904
0.0,3.725290298461914e-09,-3.725290298461914e-09,-5.780709135848591e-16,6444348.2813550215,15864
-581.7667625192553,-585.0642796140164,3.297517094761133,5.10571540862057e-07,6458481.977263272,19848
31.1508929990232,31.150841549038887,5.1449984312057495e-05,7.995135030664546e-12,6435161.396865243,23808
-6.129063751548529,-5.987995121628046,-0.14106862992048264,-2.1978739285605998e-08,6418413.180453407,27792
-4.933707668446004,-4.933655072003603,-5.259644240140915e-05,-8.192513334162373e-12,6420061.860880299,31752
-378.9954661615193,-378.7067588567734,-0.28870730474591255,-4.456416569319842e-08,6478463.1386014335,35712
-45.68251976650208,-45.68258517514914,6.540864706039429e-05,1.0172991587601279e-11,6429637.388092758,39696
20.988578775897622,21.524833702482283,-0.536254926584661,-8.369702460508376e-08,6407096.657437078,43656
