year,mean,std,baseline,surrogate,carbon_price_eur_per_t
2021,4.845593183141413,2.3383611597790317,lagged,hard,100.0
2022,1.2320581645410453,1.755250336498138,lagged,hard,100.0
2023,1.621508567710115,1.4772446132014785,lagged,hard,100.0
2024,2.9865105411921924,1.8672237528490847,lagged,hard,100.0
2025,4.2085529637304635,1.061554780501783,lagged,hard,100.0
2021,4.848333603122219,2.3382675165428104,horizon,hard,100.0
2022,1.2325258926060756,1.7501689648403225,horizon,hard,100.0
2023,1.6204826683592546,1.4758892204834788,horizon,hard,100.0
2024,2.978221920030917,1.8558090584220484,horizon,hard,100.0
2025,4.2050918877523475,1.0662094428128586,horizon,hard,100.0
