year,mean,std,baseline,surrogate,carbon_price_eur_per_t
2021,2.1452516413776532,0.7543355392992468,lagged,hard,20.0
2022,-0.03340332584367535,0.4325543527748922,lagged,hard,20.0
2023,-0.03140574345965182,0.4589313668277948,lagged,hard,20.0
2024,0.5377371627889415,0.6430975550855742,lagged,hard,20.0
2025,0.9449343036087464,0.4329728419247174,lagged,hard,20.0
2021,2.1478801709695907,0.7537542750008993,horizon,hard,20.0
2022,-0.03267171979555706,0.4264606341326816,horizon,hard,20.0
2023,-0.03237993528273901,0.46160875157391396,horizon,hard,20.0
2024,0.5289632337311712,0.639295514364344,horizon,hard,20.0
2025,0.9418716468357641,0.4304471925662696,horizon,hard,20.0
