baseline,scope,n,mean_pct,std_pct,se_pct,ci95_lo_pct,ci95_hi_pct,t_stat,p_two_sided,wilcoxon_p_two_sided,surrogate,carbon_price_eur_per_t
lagged,2021,10,3.4675,1.426,0.4509,2.5836,4.3513,7.689,3.0326848700458e-05,0.001953125,hard,40.0
lagged,2022,10,0.1928,0.8683,0.2746,-0.3454,0.7309,0.702,0.5004141258214562,0.76953125,hard,40.0
lagged,2023,10,0.6176,0.698,0.2207,0.1851,1.0502,2.798,0.020765866723808733,0.064453125,hard,40.0
lagged,2024,10,1.2066,1.1118,0.3516,0.5175,1.8957,3.432,0.007484125881332483,0.01953125,hard,40.0
lagged,2025,10,2.0974,0.5385,0.1703,1.7636,2.4312,12.316,6.16980104404591e-07,0.001953125,hard,40.0
lagged,ALL_5yr_mean,10,1.5164,0.5615,0.1775,1.1684,1.8644,8.541,1.307850552594391e-05,0.001953125,hard,40.0
horizon,2021,10,3.4703,1.4262,0.451,2.5863,4.3543,7.694,3.0177128845526454e-05,0.001953125,hard,40.0
horizon,2022,10,0.1931,0.8623,0.2727,-0.3414,0.7276,0.708,0.49677534170429716,0.76953125,hard,40.0
horizon,2023,10,0.617,0.6955,0.2199,0.1859,1.0481,2.805,0.020535605850283606,0.064453125,hard,40.0
horizon,2024,10,1.198,1.1063,0.3498,0.5123,1.8837,3.424,0.007576468866295379,0.01953125,hard,40.0
horizon,2025,10,2.0941,0.5405,0.1709,1.7591,2.4291,12.251,6.453057508744738e-07,0.001953125,hard,40.0
horizon,ALL_5yr_mean,10,1.5145,0.5614,0.1775,1.1665,1.8624,8.531,1.3197923032733157e-05,0.001953125,hard,40.0
