seed,year,aware_eur,blind_lagged_eur,blind_horizon_eur,saving_vs_lagged_pct,saving_vs_horizon_pct,surrogate,carbon_price_eur_per_t
1,2021,478511291.7187775,510104173.844806,510118029.6735846,6.193417687195861,6.195965662109941,hard,120.0
1,2022,503793432.29470843,507211157.075311,507217777.61051476,0.6738268141241043,0.6751232837181497,hard,120.0
1,2023,488100912.55477023,502350412.7984732,502440566.7423415,2.8365658473977184,2.8540000821479965,hard,120.0
1,2024,467715005.0807547,493094268.49932945,493080262.60159683,5.146939447463739,5.144245155344409,hard,120.0
1,2025,838822550.3029816,877308638.8174903,877162178.7425855,4.386835694036193,4.370871130645862,hard,120.0
19,2021,485644257.2528815,510651164.9103218,510744027.8372656,4.897062686977684,4.914354200218163,hard,120.0
19,2022,484020323.22677946,508068760.88159686,508017429.2552679,4.733303738865729,4.723677702095221,hard,120.0
19,2023,503576076.47814536,501650868.4901968,501588143.05135906,-0.38377447521276625,-0.3963278347635808,hard,120.0
19,2024,483737426.5794733,492021440.09336585,491999175.3085787,1.6836692141546836,1.679220036074999,hard,120.0
19,2025,828858589.608956,876838087.298773,876849818.1586883,5.471876551077392,5.473141187450995,hard,120.0
7,2021,472099282.25049996,510295901.1077444,510269057.7914598,7.485190214996369,7.480323362377837,hard,120.0
7,2022,504628715.78848046,507393920.039879,507448449.88140327,0.5449817473534626,0.5556690721159582,hard,120.0
7,2023,500746565.135136,502535794.88046086,502572203.84419525,0.35604025893328806,0.36325898947352314,hard,120.0
7,2024,478135459.68463373,492812440.27603686,492727497.4211421,2.9782082171428494,2.9614823229636644,hard,120.0
7,2025,844946410.8557329,876258448.7837716,876308126.6738939,3.5733792891240213,3.578845712317791,hard,120.0
0,2021,487135580.6691968,510746924.4965406,510764058.4725164,4.622904748886794,4.626104247425439,hard,120.0
0,2022,509037559.620092,507848290.20621914,507894842.158336,-0.23417808759185108,-0.2249909561790252,hard,120.0
0,2023,488007763.4837825,502693628.0092884,502617527.0542939,2.9214343901002358,2.906735794936419,hard,120.0
0,2024,478099737.9214127,493233034.328084,493240588.38957924,3.068183871197294,3.069668398053191,hard,120.0
0,2025,842446766.3067682,877303657.7805601,877306513.1207696,3.9731843318622873,3.973496867132305,hard,120.0
42,2021,501371487.9242971,510663355.88294566,510670133.5892223,1.8195681854991854,1.8208712539286565,hard,120.0
42,2022,511665496.9855672,508264224.1616576,508260549.936314,-0.6691938291584021,-0.6699215687072057,hard,120.0
42,2023,492123990.50155956,502485010.0875631,502305830.02164155,2.061955954506589,2.0270199769816166,hard,120.0
42,2024,494278718.7526251,493341752.2497583,493455892.60422224,-0.18992240137673522,-0.16674765885566592,hard,120.0
42,2025,837840071.8771684,876803542.649639,876645875.6156944,4.443808547434207,4.426622518616371,hard,120.0
37,2021,480727814.10234493,510829456.20768404,510852362.5721161,5.892698970182509,5.8969186944923875,hard,120.0
37,2022,506499614.064464,507900981.1368733,507932675.6065189,0.27591344070108814,0.2821361197807844,hard,120.0
37,2023,487919392.2000058,502277771.92138535,502317939.59767896,2.8586532241818654,2.8664210976031126,hard,120.0
37,2024,484390200.2407025,493345836.41988516,493308305.23763084,1.8152856511715918,1.807815701102459,hard,120.0
37,2025,836869721.7655809,876423079.7742219,876321805.1093813,4.513043862198434,4.502008635843093,hard,120.0
53,2021,473161569.8566028,511123112.620791,511109024.4866421,7.427083969953909,7.424532303680953,hard,120.0
53,2022,483246370.4597698,507656096.2891011,507619682.73408294,4.808319255449349,4.801490782043047,hard,120.0
53,2023,493012973.68479383,502680908.4289914,502766549.41777027,1.9232747021191554,1.939981039763203,hard,120.0
53,2024,470762280.12764096,493482403.9226053,493325103.0830159,4.604039295903162,4.573621495109306,hard,120.0
53,2025,844988845.0080657,876514088.8907974,876600928.6881588,3.5966613979503674,3.6062115206061693,hard,120.0
13,2021,501682578.54629344,510622677.63973767,510607271.0872501,1.750822962812432,1.7478584905289505,hard,120.0
13,2022,500758158.8510233,507717822.1156892,507737279.07654524,1.3707738750758416,1.3745534379936217,hard,120.0
13,2023,489125393.04352754,502327204.9018041,502333442.41535735,2.628129977721844,2.62933905183017,hard,120.0
13,2024,462496579.96940064,493898577.71505994,493731800.83466357,6.357985052505201,6.326353865086095,hard,120.0
13,2025,852549083.3286542,876910279.8741261,876974250.6596572,2.7780717257606757,2.785163568101405,hard,120.0
23,2021,468291381.6068401,510731606.54994863,510750638.7241508,8.309692292160499,8.313108961228798,hard,120.0
23,2022,499074183.7524139,508124361.2232819,508054737.11241263,1.781094976253486,1.7676350015041111,hard,120.0
23,2023,483827501.0114597,501951150.96333057,501934107.45021796,3.6106401822345577,3.607367216134854,hard,120.0
23,2024,477943134.3453611,492635437.1470446,492574323.6065677,2.9823885359871185,2.9703515916296297,hard,120.0
23,2025,833027922.7648547,876958595.7990463,876921771.9337686,5.009435250949778,5.0054463891482825,hard,120.0
31,2021,499580113.0514197,510430059.4296582,510445253.42781395,2.12564800559786,2.1285613498080647,hard,120.0
31,2022,502065125.8571762,508036717.00256336,508046551.881867,1.1754251111257856,1.1773381794512467,hard,120.0
31,2023,510291244.79786235,502831288.80380905,502851521.85106623,-1.4835902538602712,-1.4795068968687748,hard,120.0
31,2024,474239055.69035226,493830351.594854,493823350.5611932,3.9672117846200625,3.96585030833088,hard,120.0
31,2025,847843024.2806151,877484163.5363379,877347820.8308299,3.3779685705399376,3.362953192529087,hard,120.0
