seed,year,aware_eur,blind_lagged_eur,blind_horizon_eur,saving_vs_lagged_pct,saving_vs_horizon_pct,surrogate,carbon_price_eur_per_t
1,2021,242684843.74337268,255412658.89675003,255421712.5217237,4.983235838174545,4.986603782663048,hard,60.0
1,2022,253251454.0991196,254570149.98708192,254573447.08632332,0.5180088427607197,0.5192972803465409,hard,60.0
1,2023,248461356.44079438,251615751.9407133,251660840.1278379,1.2536558127180206,1.271347455336418,hard,60.0
1,2024,239762637.86406007,246891886.15410426,246885722.59243393,2.887599265046027,2.8851748305157563,hard,60.0
1,2025,426403334.1190402,439256676.5378503,439180614.8010172,2.9261575532825326,2.909345324307205,hard,60.0
7,2021,240785258.41039133,255508890.13647306,255499256.4082483,5.7624733598183235,5.7589200863842365,hard,60.0
7,2022,254172631.49997628,254662857.80846426,254687613.87579766,0.1925001206327026,0.20220157862585372,hard,60.0
7,2023,250446439.90222043,251709353.67354548,251726547.1867457,0.5017349386876533,0.5085309034075042,hard,60.0
7,2024,245027336.44559437,246750032.65744737,246706689.3233318,0.6981544007512023,0.6807082865663551,hard,60.0
7,2025,429342509.9460424,438712757.65166485,438737121.83756673,2.1358502897839937,2.1412849343991622,hard,60.0
19,2021,244362590.46084607,255686072.14313275,255731665.02605504,4.42866581952411,4.44570466627613,hard,60.0
19,2022,248696386.26857194,254993917.69839683,254967252.35413808,2.4696790757470217,2.459479022371148,hard,60.0
19,2023,251318884.17069417,251267199.11019024,251237447.72260696,-0.02056976027390825,-0.03241413603959629,hard,60.0
19,2024,241851456.83700326,246354597.50085154,246341041.0730425,1.8279101382845984,1.8225076164665739,hard,60.0
19,2025,425835301.03497773,439002554.934375,439022265.59660304,2.9993570086091146,3.003712019868756,hard,60.0
42,2021,250570607.30832434,255691405.35442498,255697488.69339463,2.0027259183790265,2.0050573868630783,hard,60.0
42,2022,255783795.97014216,255091117.7813285,255088540.50158507,-0.2715414769586138,-0.2725545675983706,hard,60.0
42,2023,247092519.36556396,251683459.4078605,251594924.74419674,1.8240928716959406,1.7895453905560692,hard,60.0
42,2024,248346363.77062246,247013974.98822448,247070278.622134,-0.5393981382881282,-0.5164867079945661,hard,60.0
42,2025,423126771.83630925,438984534.11273897,438907452.2038547,3.61237379546432,3.595445984866974,hard,60.0
53,2021,240236139.0992225,255920574.94483367,255913803.69613066,6.128634186208787,6.126150434434418,hard,60.0
53,2022,248004820.26700473,254792792.85625926,254774426.92895994,2.664114833532182,2.6570981803612543,hard,60.0
53,2023,249596844.35249162,251780392.2945986,251820491.96155804,0.8672430454997887,0.8830288558906796,hard,60.0
53,2024,238050814.40585294,247084508.28459778,247008295.55495468,3.656115043983097,3.626388793532995,hard,60.0
53,2025,429829966.441659,438840347.2401343,438885338.6427978,2.0532252458420435,2.0632660523911657,hard,60.0
13,2021,250573341.70423692,255673938.03116935,255666521.77230608,1.9949613817543708,1.9921184959073728,hard,60.0
13,2022,255277435.437146,254821878.38894877,254829395.7573442,-0.1787746998324444,-0.17581946481106045,hard,60.0
13,2023,246550654.7301137,251603556.148566,251611382.1434893,2.0082790147324876,2.01132690034252,hard,60.0
13,2024,238372594.91417733,247292285.6035265,247208051.7528878,3.6069425568938875,3.5740975166708924,hard,60.0
13,2025,432282981.7181084,439054150.0897431,439082843.9688058,1.5422171434322234,1.5486513181053514,hard,60.0
23,2021,237094118.5190596,255723098.83775243,255732284.18385115,7.284825032764164,7.288155159710769,hard,60.0
23,2022,251824119.504251,255026264.281266,254987592.05913636,1.2556137251351438,1.2406378401940787,hard,60.0
23,2023,244975097.0794517,251416826.43394178,251408706.2787984,2.56217113462873,2.55902402688162,hard,60.0
23,2024,243402376.22316796,246661439.48318633,246633342.16707215,1.3212698615749918,1.3100280422407362,hard,60.0
23,2025,428332222.76127553,439080296.20502543,439063168.6815946,2.447860570525617,2.4440551350598674,hard,60.0
37,2021,244213159.10671085,255774497.42167646,255785257.8395333,4.520129423186896,4.524146086668606,hard,60.0
37,2022,254880269.3461465,254906689.53443813,254924627.36547074,0.010364650821794026,0.017400444901170545,hard,60.0
37,2023,248476167.2898742,251579705.45772505,251601776.02800897,1.2336202406327899,1.242284051996048,hard,60.0
37,2024,245116259.32447547,247014970.7215286,246997285.6554085,0.768662478839644,0.7615574907804035,hard,60.0
37,2025,429406397.51000136,438794468.01572037,438765797.84903306,2.1395143261885123,2.1331198523026176,hard,60.0
0,2021,246951980.13430578,255733583.0053437,255742129.5014118,3.4338872383665127,3.4371143245905817,hard,60.0
0,2022,255898428.46439603,254884641.8885791,254905184.66950297,-0.39774329606728465,-0.38965225292723854,hard,60.0
0,2023,247807654.09801874,251786574.66276297,251748326.61169136,1.5802751080249242,1.5653222274445946,hard,60.0
0,2024,239638798.3992889,246960033.406442,246965142.81386635,2.96454244282675,2.9665499880277446,hard,60.0
0,2025,427794743.7738679,439235120.1049759,439253201.37765795,2.604613294213304,2.608622445517107,hard,60.0
31,2021,251776518.66120508,255574940.77534255,255582920.79128715,1.4862263501320299,1.4893022265718747,hard,60.0
31,2022,256368485.87987018,254978779.25723398,254984342.29018754,-0.5450283457644924,-0.5428347392826968,hard,60.0
31,2023,254906860.5537061,251854263.33254623,251864868.33438477,-1.2120490559769688,-1.20778742960002,hard,60.0
31,2024,239981984.32134596,247257402.91459092,247256873.87592515,2.942447226042444,2.942239558617803,hard,60.0
31,2025,427897266.3617543,439341459.3063859,439273031.2681182,2.6048515800669474,2.589679788336585,hard,60.0
