seed,year,aware_eur,blind_lagged_eur,blind_horizon_eur,saving_vs_lagged_pct,saving_vs_horizon_pct,surrogate,carbon_price_eur_per_t
19,2021,325089773.1463049,340674533.0753564,340734831.9231101,4.574677123166176,4.591564263772032,hard,80.0
19,2022,328205317.23560506,339352687.5039272,339314847.7672896,3.284892290176163,3.2741068081122418,hard,80.0
19,2023,335666932.0053817,334728613.78846896,334689956.56620044,-0.28032208131023856,-0.29190461799472195,hard,80.0
19,2024,322029750.8188029,328243582.9141703,328229493.09835,1.8930551635467112,1.8888437541136553,hard,80.0
19,2025,316699720.8672027,329914145.5428206,329919287.7356374,4.005413182231295,4.006909374461155,hard,80.0
7,2021,318758942.5327949,340437595.9910844,340424076.13997513,6.3678787870588875,6.364160212414588,hard,80.0
7,2022,338065991.8651854,338907196.1901772,338942051.00201964,0.24821081831492947,0.25846870703837327,hard,80.0
7,2023,333811948.8054585,335319289.1961168,335341852.5130427,0.44952391324458735,0.4562221196427304,hard,80.0
7,2024,323735020.4613644,328771566.5038884,328713149.9710974,1.531928717584059,1.514429681371351,hard,80.0
7,2025,318136740.69894445,329665384.0987314,329650649.2529763,3.4970742928636507,3.4927607696583034,hard,80.0
1,2021,321679060.8163359,340309699.16251105,340320373.75044346,5.4746127988783195,5.477577709695745,hard,80.0
1,2022,336801865.1140855,338784205.3512128,338788557.86785835,0.5851336059401707,0.5864108180854642,hard,80.0
1,2023,328854993.7976647,335194126.4272673,335258914.3389712,1.891182490925335,1.9101417642937497,hard,80.0
1,2024,316527712.16122687,328959204.2116504,328951133.15778613,3.779037610519375,3.776676759645084,hard,80.0
1,2025,320625756.8190246,329887770.1877413,329851870.00462705,2.807625564126122,2.7970474096366367,hard,80.0
42,2021,333927437.55069983,340681851.40903187,340686977.998076,1.9826162827272256,1.9840912285806138,hard,80.0
42,2022,340955407.43950045,339482714.7249615,339478122.94840354,-0.43380491867813137,-0.43516338498237855,hard,80.0
42,2023,328206722.6890486,335284396.97672683,335164717.1213678,2.1109465133176255,2.0759925126007928,hard,80.0
42,2024,331114245.4833632,329123285.34543717,329198347.5665074,-0.6049283738269672,-0.5819889227933461,hard,80.0
42,2025,320515314.33564866,329726172.0194191,329672461.3401202,2.7934869796225787,2.777649964224398,hard,80.0
0,2021,327451112.8045375,340738449.918858,340750226.3993984,3.899570804963369,3.902892078866244,hard,80.0
0,2022,340375882.87459135,339206046.06204414,339239221.473542,-0.34487498855879245,-0.3350619059058377,hard,80.0
0,2023,328614189.43773174,335421963.2073444,335371421.94311506,2.029614788642918,2.01485042053746,hard,80.0
0,2024,319125358.86020005,329051007.4824172,329053509.29595554,3.016446811136888,3.0171841829001638,hard,80.0
0,2025,316899611.63909227,329862937.93750906,329862943.1469019,3.9299129448948986,3.92991446209116,hard,80.0
13,2021,334345954.9194276,340656652.7406807,340646348.2361607,1.8525097838194977,1.8495408359302985,hard,80.0
13,2022,337761045.19885427,339119897.26540947,339136105.4979061,0.400699598434859,0.40545971860855473,hard,80.0
13,2023,327093637.3914714,335178377.74523365,335187159.57484686,2.4120709719251088,2.414627754130362,hard,80.0
13,2024,311979592.8373951,329494205.9412319,329381881.6262338,5.315605794585873,5.283316952019236,hard,80.0
13,2025,322474168.4079594,329851982.786046,329882695.46947664,2.2367045714780938,2.245806513425538,hard,80.0
53,2021,317596348.4308474,340988092.078272,340981460.8244178,6.859988425066506,6.858177080076549,hard,80.0
53,2022,326511954.0495511,339080422.7572218,339055490.5213642,3.7066335488998687,3.699552675736039,hard,80.0
53,2023,330621666.1723548,335413221.0664904,335471315.6244738,1.4285527800306188,1.4456226885125656,hard,80.0
53,2024,315040881.096104,329216447.23077875,329114843.47461367,4.305849921507033,4.276307391646174,hard,80.0
53,2025,314750368.8556085,330000121.38538533,330042362.86948115,4.621135430422353,4.6333427869439925,hard,80.0
31,2021,334672867.2379993,340526610.219472,340539319.29391974,1.7190265916956944,1.7226944800629858,hard,80.0
31,2022,339235580.6686403,339330274.86639965,339334696.85797113,0.027906203711594274,0.029208975754195114,hard,80.0
31,2023,338735941.4750673,335513397.5713414,335528906.91577625,-0.9604814374188145,-0.9558146833816878,hard,80.0
31,2024,317902343.2631676,329447764.9057298,329439206.8233295,3.5044771500774425,3.501970415545845,hard,80.0
31,2025,313878481.54701453,329690382.6794187,329683137.8321847,4.795984949242266,4.793892823604168,hard,80.0
23,2021,314219216.40901166,340726339.8941579,340737208.76140255,7.779593292781624,7.782534947910492,hard,80.0
23,2022,334445702.2688723,339392791.25784576,339345539.6951562,1.4576293652669257,1.443908009130033,hard,80.0
23,2023,325271231.13714814,334928715.17241913,334914356.8387953,2.8834446250150214,2.8792810773079816,hard,80.0
23,2024,322911321.5276266,328653017.6114798,328614220.74744725,1.747038906133168,1.7354389614816994,hard,80.0
23,2025,316340302.7821267,329715705.4407811,329706250.76205325,4.056647116877086,4.053895838806113,hard,80.0
37,2021,323221693.0346619,340792422.491194,340808299.1416536,5.15584511183964,5.160263453467725,hard,80.0
37,2022,339279614.06454253,339238163.5091091,339257379.8218363,-0.012218718261142548,-0.006553797803283074,hard,80.0
37,2023,328740297.2366013,335145951.9118867,335173589.07246274,1.9113030125363146,1.9193910396294982,hard,80.0
37,2024,326186989.1915383,329125657.4758543,329100976.2374005,0.8928712233659856,0.8854385906653047,hard,80.0
37,2025,321431779.7333061,329672910.6535921,329599871.5784117,2.4997901416733237,2.478184171003963,hard,80.0
