year,mean,std,baseline,surrogate,carbon_price_eur_per_t
2021,5.322704512181382,2.6577520799705128,lagged,hard,160.0
2022,1.7193916258026267,2.059933201367913,lagged,hard,160.0
2023,1.8418181161857459,1.9302320350312099,lagged,hard,160.0
2024,3.579361121713133,1.9341935990081294,lagged,hard,160.0
2025,4.673484340658282,0.8219561424397582,lagged,hard,160.0
2021,5.325424869664664,2.657561246828897,horizon,hard,160.0
2022,1.719529976551371,2.0550438423914428,horizon,hard,160.0
2023,1.8408143287030945,1.9301379600380886,horizon,hard,160.0
2024,3.571387222007459,1.9222209977640996,horizon,hard,160.0
2025,4.669829894737295,0.8196733039023247,horizon,hard,160.0
