year,mean,std,baseline,surrogate,carbon_price_eur_per_t
2021,0.031712691834742936,0.10365703208421596,lagged,hard,0.0
2022,-0.033546225055091354,0.0860425697001738,lagged,hard,0.0
2023,0.04306504715898275,0.09270098059212077,lagged,hard,0.0
2024,0.00018350042130746216,0.05951493495933246,lagged,hard,0.0
2025,-0.00022641673905684085,0.0825618459015816,lagged,hard,0.0
2021,0.01911135945358353,0.08978110628868065,horizon,hard,0.0
2022,-0.006452501253793102,0.06575616500088988,horizon,hard,0.0
2023,0.04375506391821156,0.06608050962394373,horizon,hard,0.0
2024,-0.0319897408582974,0.04713698007375389,horizon,hard,0.0
2025,-0.014472569822117207,0.04440507860390578,horizon,hard,0.0
