baseline,scope,n,mean_pct,std_pct,se_pct,ci95_lo_pct,ci95_hi_pct,t_stat,p_two_sided,wilcoxon_p_two_sided,surrogate,carbon_price_eur_per_t
lagged,2021,10,5.0524,2.4563,0.7767,3.53,6.5748,6.505,0.0001108555187768741,0.001953125,hard,120.0
lagged,2022,10,1.446,1.8966,0.5998,0.2705,2.6215,2.411,0.0391874051372952,0.01953125,hard,120.0
lagged,2023,10,1.7329,1.6698,0.528,0.698,2.7678,3.282,0.009501879054259685,0.01953125,hard,120.0
lagged,2024,10,3.2414,1.8894,0.5975,2.0703,4.4124,5.425,0.0004190127264607893,0.00390625,hard,120.0
lagged,2025,10,4.7047,1.241,0.3924,3.9355,5.4738,11.989,7.761766510675552e-07,0.001953125,hard,120.0
lagged,ALL_5yr_mean,10,3.2355,1.0397,0.3288,2.5911,3.8799,9.841,4.087919469056253e-06,0.001953125,hard,120.0
horizon,2021,10,5.0552,2.4559,0.7766,3.533,6.5773,6.509,0.00011025202526550062,0.001953125,hard,120.0
horizon,2022,10,1.4463,1.8919,0.5983,0.2737,2.619,2.417,0.038772672329701496,0.01953125,hard,120.0
horizon,2023,10,1.7319,1.67,0.5281,0.6969,2.767,3.28,0.009535985930551055,0.01953125,hard,120.0
horizon,2024,10,3.2333,1.8775,0.5937,2.0696,4.3969,5.446,0.0004078740871582634,0.00390625,hard,120.0
horizon,2025,10,4.7015,1.2452,0.3938,3.9297,5.4732,11.94,8.036480338665819e-07,0.001953125,hard,120.0
horizon,ALL_5yr_mean,10,3.2336,1.0399,0.3288,2.5891,3.8781,9.834,4.113477854949734e-06,0.001953125,hard,120.0
