scope,n,mean_saving_pct,se_pct,ci95_lo_pct,ci95_hi_pct,t_stat,p_two_sided,wilcoxon_p_two_sided,mean_carbon_fraction_of_saving,aggregate_carbon_fraction_of_saving,mean_delivered_mass_delta_pct,mean_co2_saving_t,mean_saving_per_kg_pct,ci95_lo_per_kg_pct,ci95_hi_per_kg_pct,mean_co2_intensity_saving_pct,baseline
2021,10,4.566631900199697,0.687961430817357,3.2182274957976773,5.915036304601717,6.637918487340414,9.504479596205689e-05,0.001953125,1.002435397050096,1.0011938202024107,-4.531410507035001,194694.45314499046,0.036977438042427035,0.029463815140299235,0.044491060944554836,0.05279945296078559,lagged
2022,10,0.8920206805246409,0.4663085254223391,-0.021944029303143653,1.8059853903524254,1.9129409648187992,0.08804615830742224,0.10546875,0.9549274419361902,1.0094522948867843,-0.8656246593500632,38177.53463607817,0.02672458644997211,0.018119726587765457,0.03532944631217876,0.0404661750395896,lagged
2023,10,1.3875835576908442,0.39338247758354095,0.616553901627104,2.1586132137545846,3.5273140944519294,0.006441042739824642,0.013671875,0.9996990760647668,1.0129961221597832,-1.3550467962449164,58893.6862037594,0.03302903712871563,0.02503990284544779,0.041018171411983474,0.05505334440348175,lagged
2024,10,2.5381382924629534,0.559580706733676,1.4413601072649485,3.6349164776609584,4.535785923139309,0.0014144233826482553,0.00390625,1.003001299446312,1.0056182503001982,-2.5047230232214015,105002.28818681129,0.0344731581626756,0.022683685427694417,0.04626263089765678,0.054564033839629156,lagged
2025,10,3.524377517343172,0.2839324902894393,2.967869836375871,4.080885198310473,12.412730623925569,5.769827919837523e-07,0.001953125,1.0028776214609514,1.0025261073407346,-3.4934700544004142,145661.11225856617,0.03206062747145744,0.026316924196541053,0.03780433074637382,0.04846728004919365,lagged
ALL_5yr_seed_mean,10,2.5817503896442617,0.2700985712321806,2.0523571900291877,3.1111435892593358,9.558548858168345,5.203728674103186e-06,0.001953125,0.9925881671916633,1.0042561424150733,-2.5500550080503595,108485.8148860411,0.03265296945104956,0.02842942296755414,0.03687651593454498,0.05027005725853595,lagged
