year,mean,std,baseline,surrogate,carbon_price_eur_per_t
2021,4.56654381645019,2.175514123976486,lagged,hard,80.0
2022,0.8919898193532443,1.4744799705880185,lagged,hard,80.0
2023,1.3874906415030535,1.2439269930228245,lagged,hard,80.0
2024,2.5381869836889335,1.7696764820072006,lagged,hard,80.0
2025,3.0940421762723416,0.706412259683339,lagged,hard,80.0
2021,4.569568795504325,2.175382065349265,horizon,hard,80.0
2022,0.892119591331538,1.468880377425271,horizon,hard,80.0
2023,1.3861468166776625,1.2421379045824796,horizon,hard,80.0
2024,2.5299641065437704,1.7586489010816295,horizon,hard,80.0
2025,3.0900726161998207,0.7013151853848661,horizon,hard,80.0
