baseline,scope,n,mean_pct,std_pct,se_pct,ci95_lo_pct,ci95_hi_pct,t_stat,p_two_sided,wilcoxon_p_two_sided,surrogate,carbon_price_eur_per_t
lagged,2021,10,4.8456,2.3384,0.7395,3.3963,6.2949,6.553,0.00010481556793277932,0.001953125,hard,100.0
lagged,2022,10,1.2321,1.7553,0.5551,0.1441,2.32,2.22,0.05359123409882681,0.048828125,hard,100.0
lagged,2023,10,1.6215,1.4772,0.4671,0.7059,2.5371,3.471,0.007036580454461179,0.013671875,hard,100.0
lagged,2024,10,2.9865,1.8672,0.5905,1.8292,4.1438,5.058,0.0006830103915612581,0.00390625,hard,100.0
lagged,2025,10,4.2086,1.0616,0.3357,3.5506,4.8665,12.537,5.298960768762487e-07,0.001953125,hard,100.0
lagged,ALL_5yr_mean,10,2.9788,0.9587,0.3032,2.3846,3.5731,9.825,4.142398395406355e-06,0.001953125,hard,100.0
horizon,2021,10,4.8483,2.3383,0.7394,3.3991,6.2976,6.557,0.00010433570582330308,0.001953125,hard,100.0
horizon,2022,10,1.2325,1.7502,0.5535,0.1478,2.3173,2.227,0.052957351350060515,0.048828125,hard,100.0
horizon,2023,10,1.6205,1.4759,0.4667,0.7057,2.5352,3.472,0.007025613005503563,0.013671875,hard,100.0
horizon,2024,10,2.9782,1.8558,0.5869,1.828,4.1285,5.075,0.0006674659605314301,0.00390625,hard,100.0
horizon,2025,10,4.2051,1.0662,0.3372,3.5442,4.8659,12.472,5.539893774229811e-07,0.001953125,hard,100.0
horizon,ALL_5yr_mean,10,2.9769,0.9589,0.3032,2.3826,3.5712,9.818,4.1697167767655305e-06,0.001953125,hard,100.0
