scope,n,mean_saving_pct,se_pct,ci95_lo_pct,ci95_hi_pct,t_stat,p_two_sided,wilcoxon_p_two_sided,mean_carbon_fraction_of_saving,aggregate_carbon_fraction_of_saving,mean_delivered_mass_delta_pct,mean_co2_saving_t,mean_saving_per_kg_pct,ci95_lo_per_kg_pct,ci95_hi_per_kg_pct,mean_co2_intensity_saving_pct,baseline
2021,10,0.03717323234694103,0.17352866886583884,-0.30294295863010307,0.37728942332398513,0.21421954418195285,0.8351506317023728,0.6953125,1.0614350063504596,1.4456309341200388,0.047652454447403333,2239.7507610107305,0.08476456207800687,0.0724327988350133,0.09709632532100043,0.1013679978952875,lagged
2022,10,0.09278497835241058,0.17807910602666102,-0.256250069459845,0.44182002616466615,0.5210323682696347,0.614920079704228,0.76953125,0.9888526707817136,1.2318769807659984,-0.04085868190343952,4824.177871042676,0.05197299213702933,0.04165161462071976,0.0622943696533389,0.07414060313964188,lagged
2023,10,0.06551699321431595,0.1573855886612227,-0.24295876056168056,0.3739927469903125,0.4162833063155692,0.6869544643876191,0.921875,1.0119312171687471,1.345823530347988,0.012300933713414893,3718.526120174816,0.07780070438076492,0.06890398009513253,0.0866974286663973,0.1006651828580385,lagged
2024,10,0.20598272139356136,0.13581422112647587,-0.060213152014331334,0.4721785948014541,1.5166506105552942,0.16366312187631174,0.16015625,1.0542258089184449,1.1002056799372975,-0.1312819629499627,9517.570940228365,0.0748317015014266,0.05952613077312007,0.09013727222973311,0.09598172678760619,lagged
2025,10,-0.06652787174963679,0.0634901967573279,-0.19096865739399946,0.05791291389472589,-1.0478447878169206,0.3220336206433198,0.322265625,1.1168537719897995,0.7164084384060416,0.12829984838023734,-1955.2529821512755,0.06169527710077616,0.05276094313567352,0.0706296110658788,0.08043860000033876,lagged
ALL_5yr_seed_mean,10,0.06698601071151843,0.011740178554916145,0.043975260743882784,0.08999676067915408,5.705706297240969,0.00029218980750171165,0.001953125,1.046659695041833,1.296456611393545,0.0032225183375306663,3668.954542061062,0.07021304743960077,0.06419048144542369,0.07623561343377785,0.09051882213618256,lagged
