aware,horizon,lagged,annual,constant,saving_vs_horizon_pct,saving_vs_lagged_pct,year,price_co2_eur_per_t
333890794.95034766,340677618.3059344,340677618.3059344,340660870.9929852,335873781.8719999,1.9921541630281334,1.9921541630281334,2021,80.0
340941644.657351,339417014.0331979,339435717.9511808,339355239.80134493,337327976.0786729,-0.44919098369182386,-0.4436559344019272,2022,80.0
320947778.3939224,328033390.37320197,328052011.36855745,328064090.47184175,330509325.6351263,2.1600276640186875,2.1655812884663748,2023,80.0
