year,aware_eur,blind_horizon_eur,blind_annual_eur,constant_eur,saving_vs_horizon_pct,saving_vs_annual_pct,saving_vs_constant_pct
2021,2403387.59574035,2493265.767224322,1014218.0507133567,3041531.192084853,3.6048371844462768,-136.96951499235416,20.98099792647795
2022,4936399.439367251,4915587.807931072,2696489.973827959,6108318.073875079,-0.42338032091706024,-83.06759851806524,19.18561902531003
2023,2211900.6064614677,2224746.939855301,1117527.7581165372,2949056.5854534474,0.5774289724236532,-97.92802374675402,24.99633213645626
